weight_ounces
2304
2080
2240
2160
2256
2000
2560
1616
1552.05
2560
2960
2400
120
1680
2000
1968
165
1920
2112
2192
2080
2720
3840
185
1840
2160
1920
2288
2000
2448
1824
2560
1920
1760
1664
1920
2560
2528
175
2080
2720
1700
2000
1830
2480
2160
2480
2560
2720
1840
1600
1952
1920
2240
123
1808
2464
1840
2160
2160
1760
2320
124
3200
2080
2160
1920
1700
2720
2160
2640
3040
2880
2800
2800
2000
1888
2560
3300
2720
2480
2010
2700
2720
2080
2080
180
2560
4000
1650
1840
2400
1824
2160
2800
3200
2240
2240
2160
2000
1840
1968
